AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude;Continent
KVA;KVA;GR;Airport;Kavala;+02:00;Europe/Athens;40.9133;24.6192;Europe
KWQ;KSF;DE;Rail Station;Kassel Wilhelmshoehe Railway Station;+01:00;Europe/Berlin;51.3131;9.4467;Europe
KYA;KYA;TR;Airport;Konya;+03:00;Europe/Istanbul;37.9789;32.5619;Europe
KZN;KZN;RU;Airport;Kazan;+03:00;Europe/Moscow;55.6061;49.2786;Europe
LCJ;LCJ;PL;Airport;Lodz;+01:00;Europe/Warsaw;51.7219;19.3981;Europe
LCY;LON;GB;Airport;London City;+00:00;Europe/London;51.505;0.0542;Europe
LDE;LDE;FR;Airport;Lourdes;+01:00;Europe/Paris;43.1856;-0.0028;Europe
LED;LED;RU;Airport;St Petersburg;+03:00;Europe/Moscow;59.8003;30.2625;Europe
LEJ;LEJ;DE;Airport;Leipzig/ Halle;+01:00;Europe/Berlin;51.4325;12.2417;Europe
LGO;LGO;DE;Airport;Langeoog;+01:00;Europe/Berlin;53.75;7.4833;Europe
LGW;LON;GB;Airport;London Gatwick;+00:00;Europe/London;51.1481;-0.1903;Europe
LHR;LON;GB;Airport;London Heathrow;+00:00;Europe/London;51.4775;-0.4614;Europe
LIN;MIL;IT;Airport;Milan Linate;+01:00;Europe/Rome;45.4494;9.2783;Europe
LIS;LIS;PT;Airport;Lisbon;+00:00;Europe/Lisbon;38.7742;-9.1342;Europe
LJU;LJU;SI;Airport;Ljubljana;+01:00;Europe/Ljubljana;46.2236;14.4575;Europe
LKN;LKN;NO;Airport;Leknes;+01:00;Europe/Oslo;68.1544;13.6119;Europe
LLA;LLA;SE;Airport;Lulea;+01:00;Europe/Stockholm;65.5439;22.1219;Europe
LNZ;LNZ;AT;Airport;Linz;+01:00;Europe/Vienna;48.2333;14.1875;Europe
LPL;LPL;GB;Airport;Liverpool John Lennon;+00:00;Europe/London;53.3336;-2.8497;Europe
LRS;LRS;GR;Airport;Leros;+02:00;Europe/Athens;37.185;26.8003;Europe
