FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
LH1139;BCN;2023-05-19;06:50;2023-05-19;06:56;1;C72;DP;Flight Departed;LH;1139;32M;2023-05-19;09:05;1;A16;LD;Flight Landed;LD;Flight Landed
LH1819;BCN;2023-05-19;07:40;2023-05-19;07:43;1;B26;DP;Flight Departed;LH;1819;321;2023-05-19;09:32;2;G30;LD;Flight Landed;LD;Flight Landed
LH1137;BCN;2023-05-19;08:00;2023-05-19;08:12;1;B62;DP;Flight Departed;LH;1137;321;2023-05-19;10:26;1;A17;LD;Flight Landed;LD;Flight Landed
EW2529;BCN;2023-05-19;09:00;2023-05-19;09:00;2;;DP;Flight Departed;EW;2529;320;2023-05-19;11:02;1;;LD;Flight Landed;LD;Flight Landed
4Y2061;BCN;2023-05-19;09:10;2023-05-19;09:11;;U33;DP;Flight Departed;4Y;2061;32A;2023-05-19;11:33;1;BSO;LD;Flight Landed;LD;Flight Landed
X85457;BCN;2023-05-19;09:25;2023-05-19;09:30;2;;DP;Flight Departed;X8;5457;320;2023-05-19;11:46;;A68I;LD;Flight Landed;LD;Flight Landed
EW521;BCN;2023-05-19;09:30;2023-05-19;09:24;2;;DP;Flight Departed;EW;521;320;2023-05-19;11:33;1;B40;LD;Flight Landed;LD;Flight Landed
LX1953;BCN;2023-05-19;09:50;2023-05-19;09:47;1;;DP;Flight Departed;LX;1953;32Q;2023-05-19;11:34;;;LD;Flight Landed;LD;Flight Landed
OS392;BCN;2023-05-19;10:00;2023-05-19;10:04;1;;DP;Flight Departed;OS;392;320;2023-05-19;12:16;3;F36A;LD;Flight Landed;LD;Flight Landed
LH1125;BCN;2023-05-19;10:30;2023-05-19;10:36;1;B32;DP;Flight Departed;LH;1125;32M;2023-05-19;12:44;1;A01;LD;Flight Landed;LD;Flight Landed
LH1811;BCN;2023-05-19;11:45;2023-05-19;11:57;1;B32;DP;Flight Departed;LH;1811;32Q;2023-05-19;13:49;2;K18;LD;Flight Landed;LD;Flight Landed
LH1127;BCN;2023-05-19;12:50;2023-05-19;12:51;1;B47;DP;Flight Departed;LH;1127;321;2023-05-19;14:53;1;A64;LD;Flight Landed;LD;Flight Landed
LH1813;BCN;2023-05-19;13:35;2023-05-19;13:55;1;B36;DP;Flight Departed;LH;1813;32M;2023-05-19;15:55;2;K12;LD;Flight Landed;LD;Flight Landed
LH1131;BCN;2023-05-19;13:50;2023-05-19;14:19;1;B24;DP;Flight Departed;LH;1131;32Q;2023-05-19;16:35;1;A54;LD;Flight Landed;LD;Flight Landed
X89445;BCN;2023-05-19;14:10;2023-05-19;14:21;2;;DP;Flight Departed;X8;9445;320;2023-05-19;16:40;;B91;LD;Flight Landed;LD;Flight Landed
EW7521;BCN;2023-05-19;14:35;2023-05-19;14:35;2;;DP;Flight Departed;EW;7521;32A;2023-05-19;17:02;1;;LD;Flight Landed;LD;Flight Landed
LX1955;BCN;2023-05-19;14:55;2023-05-19;15:19;1;;DP;Flight Departed;LX;1955;321;2023-05-19;16:58;;;LD;Flight Landed;LD;Flight Landed
SN3704;BCN;2023-05-19;15:10;2023-05-19;16:56;1;;DP;Flight Departed;SN;3704;320;2023-05-19;18:57;;;LD;Flight Landed;LD;Flight Landed
LH1135;BCN;2023-05-19;17:05;2023-05-19;17:13;1;B36;DP;Flight Departed;LH;1135;321;2023-05-19;19:21;1;A11;LD;Flight Landed;LD;Flight Landed
